,Height Ratio,Popular Vote
1,0.924324324,0.427780852
2,1.081871345,0.56148981
3,1,0.597141922
4,0.971098266,0.581254292
5,1.029761905,0.530344067
6,0.935135135,0.507425996
7,0.994252874,0.526679292
8,0.908163265,0.536690951
9,1.045714286,0.577825976
10,1.18404908,0.573225387
11,1.115606936,0.550410082
12,0.971910112,0.559380032
13,0.97752809,0.484823958
14,0.978609626,0.500466176
15,1,0.502934212
16,0.933333333,0.49569636
17,1.071428571,0.516904414
18,0.944444444,0.522050547
19,0.944444444,0.531494442
20,1.017142857,0.60014892
21,1.011111111,0.545079801
22,1.011235955,0.604274986
23,1.011235955,0.51635906
24,1.089285714,0.63850958
25,0.988888889,0.652184407
26,1.011111111,0.587920412
27,1.032967033,0.5914898
28,1.044444444,0.624614752
29,1,0.550040193
30,1.086705202,0.537771958
31,1.011560694,0.523673642
32,1.005617978,0.554517134
33,1.005617978,0.577511576
34,1.005494505,0.500856251
35,1.072222222,0.613444534
36,1.011111111,0.504063153
37,0.983783784,0.617883695
38,0.967213115,0.51049949
39,1.04519774,0.553073235
40,1.027777778,0.59166415
41,1.086705202,0.538982024
42,1,0.53455133
43,1.005347594,0.547304058
44,0.983783784,0.497350649
45,0.943005181,0.512424242
46,1.057142857,0.536914796
